"","dd.p","mlr.p","mlr.v2.p","fisher.p","binom.p","lr.p","dd.fdr","mlr.fdr","mlr.v2.fdr","fisher.fdr","binom.fdr","lr.fdr","mut.E1","mut.E0","E1","E0","gene","mode","alpha","significant","tumor","pheno"
"CASP8","0.00209293309894018","0.0115730776955958","0.00680303690260825","0.0106184314397135","0.00931925376837438","0.017480773416363","0.023022264088342","0.0763823127909324","0.0561250544465181","0.116270175491836","0.102511791452118","0.150032488270514","4","41","122","361","CASP8","sig","-2.677811643193634","true","HNSC","C1"
"EP300","0.000600970724440975","0.00848086714440141","0.00581797950153513","0.01044693831862","0.00821834816392621","0.0190084510953076","0.00991601695327608","0.0763823127909324","0.0561250544465181","0.116270175491836","0.102511791452118","0.150032488270514","2","31","122","361","EP300","sig","-4.040225655132718","true","HNSC","C1"
"HLA-B","0.00776830895978308","0.0336454433693858","0.0152421868654083","0.027709556662466","0.0172078227851718","0.981397294248262","0.0640885489182104","0.156854624725274","0.100598433311695","0.14441213926073","0.113571630382134","0.986446096556647","0","15","122","361","HLA-B","sig","-2.80058814066268","true","HNSC","C1"
"HRAS","0.000306402879390011","0.00523398174817988","0.00474388617707907","0.00221075049129188","0.00174480382580342","0.0232881699187512","0.00991601695327608","0.0763823127909324","0.0561250544465181","0.072954766212632","0.057578526251513","0.150032488270514","1","31","122","361","HRAS","sig","-2.39707745033759","true","HNSC","C1"
"SMARCA4","0.0119699798975477","0.00251503947111036","0.00381821002327958","0.014093354605071","0.0135691412848848","0.00483465537221911","0.0790018673238151","0.0763823127909324","0.0561250544465181","0.116270175491836","0.111945415600299","0.150032488270514","10","9","122","361","SMARCA4","sig","2.336926697242199","true","HNSC","C1"
"KRAS","0.00712361094968347","0.0000391351179128066","0.0000430750426965111","0.0711463504293045","0.0543346290369016","0.00835367138456216","0.0284944437987339","0.000156540471651226","0.000172300170786044","0.284585401717218","0.217338516147606","0.0334146855382486","1","4","3","267","KRAS","sig","4.317289491848933","true","KIRP","C1"
"KIT","0.0000218676463432723","0.00103832104126486","0.00135046142364446","0.00132211600279045","0.000809446416492452","0.989522224649423","0.000065602939029817","0.00311496312379457","0.00405138427093339","0.00396634800837135","0.00242833924947736","0.989522224649423","0","24","41","106","KIT","sig","-4.650643888297103","true","TGCT","C1"
"KRAS1","0.00422808351208547","0.0315216516677333","0.0467898161418981","0.0742597782630785","0.0546500715359008","0.0612658738913822","0.00634212526812821","0.0472824775015999","0.0701847242128472","0.111389667394618","0.0819751073038512","0.183797621674147","1","16","41","106","KRAS","sig","-3.034302532860159","true","TGCT","C1"
"NRAS","0.04319716904357","0.121476627124437","0.17414478396736","0.192791515421555","0.19555492285855","0.987233813847213","0.04319716904357","0.121476627124437","0.17414478396736","0.192791515421555","0.19555492285855","0.989522224649423","0","6","41","106","NRAS","sig","-2.827773919420259","true","TGCT","C1"
"CTNNB1","0.00374282585214335","0.000133481834949291","0.0000262429465719579","0.00539142881446725","0.00142732490838079","0.000216796326529447","0.074856517042867","0.00533927339797165","0.00104971786287832","0.21565715257869","0.0570929963352315","0.00867185306117789","46","22","107","116","CTNNB1","sig","1.01825836142742","true","UCEC","C1"
"TP53","0.00195926599291842","0.00440985272829698","0.00736402213188362","0.0212862212649093","0.0125924891420734","0.0053331556989203","0.074856517042867","0.0881970545659397","0.147280442637672","0.425724425298187","0.251849782841468","0.106663113978406","16","37","107","116","TP53","sig","-1.220428165810219","true","UCEC","C1"
"FGFR3","0.0000726872129289936","0.000152899530386585","0.000247339510665312","0.00048747433521567","0.000258946377563287","0.000353860457653673","0.0045792944145266","0.00963267041435482","0.0155823891719147","0.0307108831185872","0.0163136217864871","0.0222932088321814","11","47","160","216","FGFR3","sig","-1.586218051533108","true","BLCA","C2"
"CDH1","0.00175037856767222","0.014633288278749","0.00651196375756692","0.0220749630045657","0.0179844400580963","0.0175319739484762","0.0196957700661188","0.0692040654355727","0.0781740071258984","0.107050323836329","0.0899222002904814","0.111050973059411","10","40","336","594","CDH1","sig","-2.455840355331439","true","BRCA","C2"
"CTCF","0.00315132321057901","0.0229032503382559","0.0278404238059991","0.0242190385118067","0.0245829590597024","0.0524841684217316","0.0196957700661188","0.0817973226366281","0.0870013243937473","0.107050323836329","0.102428996082093","0.187443458649042","1","13","336","594","CTCF","sig","-3.361494984397777","true","BRCA","C2"
"FBXW7","0.0304564073525367","0.00892293262622056","0.021075140985281","0.0141179392495037","0.013574246046462","0.0222101946118823","0.0951762729766773","0.0692040654355727","0.0870013243937473","0.107050323836329","0.0899222002904814","0.111050973059411","7","2","336","594","FBXW7","sig","2.621648379283371","true","BRCA","C2"
"FOXA1","0.0026987205005566","0.0166089757045375","0.0093808808551078","0.025692077720719","0.015170963793732","0.0439183131862764","0.0196957700661188","0.0692040654355727","0.0781740071258984","0.107050323836329","0.0899222002904814","0.182992971609485","1","14","336","594","FOXA1","sig","-3.12876375085292","true","BRCA","C2"
